ev_network,dc_station,level_2_station,level_1_station,total_stations_added
ChargePoint Network,3979,37131,33,41118
Blink Network,567,4925,0,5381
Non-Networked,313,3457,355,3969
Tesla,1949,1,0,1950
EV Connect,791,954,0,1600
SHELL_RECHARGE,172,1215,0,1371
Tesla Destination,0,1099,0,1099
FLO,76,1007,0,1072
AMPUP,9,1025,0,1029
LOOP,43,890,0,917
Electrify America,820,87,0,850
eVgo Network,766,13,0,773
VIALYNK,62,676,0,718
EVGATEWAY,115,382,0,465
OpConnect,29,301,0,327
CHARGEUP,8,313,0,318
RED_E,182,151,0,276
SWTCH,10,267,0,273
ZEFNET,92,216,0,261
UNIVERSAL,14,241,0,254
NOODOE,21,230,0,248
EVOKE,2,230,0,232
CHARGESMART_EV,55,211,0,231
FORD_CHARGE,200,11,0,201
CHARGELAB,55,153,0,200
EVCS,147,103,0,196
RIVIAN_WAYPOINTS,0,193,0,193
FCN,164,65,0,178
POWERFLEX,20,153,0,160
FLASH,0,137,0,137
RIVIAN_ADVENTURE,116,0,0,116
CIRCLE_K,86,1,0,87
TURNONGREEN,0,72,0,72
GRAVITI_ENERGY,31,41,0,67
EVMATCH,0,61,0,61
AUTEL,24,39,0,58
STAY_N_CHARGE,0,56,0,56
BP_PULSE,53,0,0,53
FPLEV,49,0,0,49
EVRANGE,16,30,0,46
7CHARGE,39,1,0,40
APPLEGREEN,35,0,0,35
REVITALIZE,0,30,0,30
ELECTRIC_ERA,18,0,0,18
ABM,3,16,0,17
IONNA,16,0,0,16
EVIUM,2,15,0,16
EVBOLT,1,14,0,15
POWERPORT_EVC,1,13,0,14
POWERPUMP,5,8,0,10
IN_CHARGE,8,3,0,8
HYPERFUEL,7,0,0,7
REVEL,7,0,0,7
FLITWAY,5,2,0,7
CHARGIE,0,7,0,7
JULE,6,0,0,6
Enel X Way,1,5,0,6
WATT_EV,5,0,0,5
KWIK_CHARGE,5,0,0,5
EVPOWER,5,0,0,5
AMPED_UP,0,5,0,5
CHARGENET,3,0,0,3
CHAEVI,3,0,0,3
ENVIROSPARK,0,3,0,3
EVPASSPORT,2,1,0,2
ROVE,1,0,0,1
GRAVITY_CHARGING_CENTER,1,0,0,1
WAVE,1,0,0,1
DIRT_ROAD,0,1,0,1
HONEY_BADGER,0,1,0,1
MATCHA,0,1,0,1
,0,0,0,0
