"state_abbrev","dc_fast_ports_per_100k"
"OR","27.43"
"WV","10.23"
"CT","18.27"
"OK","24.67"
"SC","12.93"
"PA","11.66"
"ND","15.95"
"WY","25.17"
"DC","9.43"
"TN","12.36"
"GA","15.58"
"UT","16.36"
"HI","11.78"
"KS","10.00"
"AK","7.36"
"SD","15.56"
"MO","11.39"
"AR","6.42"
"MN","13.02"
"OH","11.33"
"NE","10.92"
"WA","22.18"
"WI","11.54"
"LA","7.74"
"ME","22.35"
"AL","16.03"
"MS","7.59"
"VA","16.90"
"AZ","16.66"
"DE","27.91"
"NJ","18.47"
"ID","12.16"
"CA","40.72"
"NM","21.61"
"MI","11.19"
"NH","20.90"
"FL","15.51"
"NY","12.41"
"MT","20.92"
"IN","12.01"
"NC","14.61"
"TX","13.15"
"CO","22.51"
"NV","31.43"
"IA","15.19"
"MD","16.34"
"VT","38.61"
"IL","12.73"
"MA","18.27"
"RI","11.13"
"KY","8.29"
